review_text,rating,Time,cleaned_review
"This is the BEST dry cereal that I have ever eaten!  It's full of nutrients, crispy, (never gets soggy), & FULL of protein.  This cereal is TRULY THE STAFF OF LIFE!  (Try it, you'll like it!)",5,1199664000,best dry cereal ever eaten full nutrients crispy never gets soggy full protein cereal truly staff life try youll like
"My husband and I have tried several different drinks and pills to enhance our love life and spice things up. All of which to no avail. None of them ever really did anything for us. I picked up a couple of these Neurogasms at the grocery store. The bottle caught my eye. And though for a drink they keep in the section with bottled water and soda....I had NO expectations for these what so ever. I just thought they were kinda funny.... unexpectedly, these little babies work AWESOME. Lets just say we notice a BIG difference ;) Weve since bought several more... and again, it wasnt a fluke! These really work. They taste great. They arent expensive. I have since tried other Neuro drinks, like Neurosleep.....which is as effective as Neurogasm. Now Id just like to see these drinks in more places, so theyre easier to find.",5,1325376000,husband tried several different drinks pills enhance love life spice things avail none ever really anything us picked couple neurogasms grocery store bottle caught eye though drink keep section bottled water sodai expectations ever thought kinda funny unexpectedly little babies work awesome lets say notice big difference weve since bought several wasnt fluke really work taste great arent expensive since tried neuro drinks like neurosleepwhich effective neurogasm id like see drinks places theyre easier find
"I've been looking for a really good peachy flavored black tea. This is probably the best I've found, though still tastes more fruity than peachy, if that makes any sense. It came in a box with all the tea loose inside, so you'll need something to keep it in, or leave it in the cardboard box. I'm using a lock and lock container.",4,1347753600,ive looking really good peachy flavored black tea probably best ive found though still tastes fruity peachy makes sense came box tea loose inside youll need something keep leave cardboard box im using lock lock container
"Go to a asian grocery store and get a real fresh young coconut for less than a dollar. Bore a hole into it, drink it, then drink this ""100% Natural"" O.N.E coconut water. I think you'll write a same review just like mine. It just doesn't taste natural at all.",1,1241568000,go asian grocery store get real fresh young coconut less dollar bore hole drink drink natural one coconut water think youll write review like mine doesnt taste natural
"My cat loves this cat food so much that we feed it to her as treats. She has a tendency to get underweight so we feed it to her pretty much on demand (which is frequently). I'd recomend it for fussy cats with tooth tartar problems (the chucks are larger than normal cat food and presumably help to clean their teeth when they crunch it). I usually buy the larger size for economy's sake, but this would be a better size to try out on your cat.",5,1295049600,cat loves cat food much feed treats tendency get underweight feed pretty much demand frequently id recomend fussy cats tooth tartar problems chucks larger normal cat food presumably help clean teeth crunch usually buy larger size economys sake would better size try cat
"The packaging is great - the coffee - not so much, harsh flavor and I love dark roast blends - so I am no wimp. This coffee leaves a lot to be desired, I cannot wait until it is all gone and I can move on to the next box of different and better coffee!",2,1255824000,packaging great coffee much harsh flavor love dark roast blends wimp coffee leaves lot desired cannot wait gone move next box different better coffee
"I love Mighty Leaf teas and have found no other teas that can match their quality, taste, and freshness.  However the Bombay Chai falls far below my expectation for an authentic chai tea.  The tea tastes very weak and is lacking the robust black tea taste that a chai tea should have.  The taste created by Bombay Chai departs from the traditional chai tea taste.  In my opinion, this tea cannot even be considered a ""chai"" tea.  Yes, the spices used are traditional chai spices, however the flavor is not that of chai. After my great experience with other Mighty Leaf teas, I was greatly disappointed with their attempt at a chia tea recipe.<br /><br />Yet in spite of Mighty Leaf Bombay Chai's shortcoming, this tea is still far more healthy and tasty than the boxed chai teas on the market - Oregon Chai and Tazo Chai (sold by Starbucks).  These boxed chai teas are what most Americans consider chai, however they are very far from it.  These boxed chai teas are dessert drinks that are loaded with sugar digest horribly.<br /><br />Chai tea spices are medicinal in nature, supporting the function of different organs and reducing the ""dampness"" (Chinese Medicine) or ""kapha"" (Ayurveda Medicine) of the milk used to create a more balanced drink.<br /><br />I have traveled India and tasted authentic chai tea - both in south India and north India (subtly different recipes).  I have even had the pleasure to taste very rare varieties of black tea leaves.  Unfortunately I have never tasted chai tea outside of India that resembles what I have enjoyed in India.  My own experiments with chai spices have created chai tea that is closer than what is sold in America, however there is a uniqueness to chai tea in India that is difficult to replicate.<br /><br />I find that I can create a more authentic chai tea by using Mighty Leaf Organic Breakfast Tea combined with a blend of chai spices (cardamom, cinnamon, ginger and cloves).  Or if I am in a hurry, I skip the spices and use a tea bag of Tulsi Red Chai Masala (caffeine-free Roiboos tea, not black tea).  I find this unique combination of black tea and roiboos a tasty recipe.<br /><a href=""http://www.amazon.com/gp/product/B000VDP11Y"">Organic India Tulsi Red Chai Masala, 18-Ounce Boxes (Pack of 6)</a><br /><a href=""http://www.amazon.com/gp/product/B001ET5Y0M"">Mighty Leaf Tea, Organic Breakfast, Tea Bags, 15-Count Box, Biodegradable Whole Leaf Pouches (Pack of 3)</a><br /><br />-- My Praise for Mighty Leaf Teas ---<br /><br />Mightly Leaf Tea should be considered in a class of it's own for tea. The leaves and herbs used are extremely fresh. When you open a plastic (not paper that breathes) pouch, you are immediately hit with the sweet aroma of fresh tea. I have never smelled another tea bag that even comes close to the freshness. Even most bulk teas are not packaged correctly or quick enough at the manufacturer to keep this much freshness in the tea.<br /><br />Mighty Leaf Tea is a bit more expensive than other organic tea, however the quality of the leaves and herbs is the highest. Might Leaf Tea uses large pieces of leaves, herbs, and flowers - unlike most teas that use shreds of leaves. Shredded tea oxidizes very quickly due to the increased surface area. This results in tea that loses flavor and smell very quickly.<br /><br />Mighty leaf uses silk bags which have larger pores than paper bags. This means that the water penetrates the tea bags more fully, allowing the newly tea-infused water to spread to the cup more quickly. Brewing tea too long will create a bitter taste. The problem with most paper tea bags is that infused tea water cannot spread quickly enough through the cup to create a bold, full flavor before the 3-5 brewing time has passed. This means that either your tea is not full flavored or is bitter. Mighty Leaf solves this problem by using silk bags.<br /><br />Each Mighty Leaf Tea bag is sealed in a plastic pouch. Since plastic is less porous than paper, these pouches keep the tea and herbs fresher longer.<br /><br />There is nothing to not like about Mighty Leaf Tea. I only wish that Mighty Leaf Tea started selling Tulsi tea and I would be in Heaven.<br /><br />Mighty Leaf Tea is clearly the creation of tea experts who appreciate the highest quality organic ingredients. They have created a tea bag system that is far beyond what any other company has done. Every type of tea that Mighty Leaf Tea offers tastes incredible. So choose your favorite flavor and enjoy tea as it should be experienced - fresh, bold, and delicious.",3,1266192000,love mighty leaf teas found teas match quality taste freshness however bombay chai falls far expectation authentic chai tea tea tastes weak lacking robust black tea taste chai tea taste created bombay chai departs traditional chai tea taste opinion tea cannot even considered chai tea yes spices used traditional chai spices however flavor chai great experience mighty leaf teas greatly disappointed attempt chia tea recipebr br yet spite mighty leaf bombay chais shortcoming tea still far healthy tasty boxed chai teas market oregon chai tazo chai sold starbucks boxed chai teas americans consider chai however far boxed chai teas dessert drinks loaded sugar digest horriblybr br chai tea spices medicinal nature supporting function different organs reducing dampness chinese medicine kapha ayurveda medicine milk used create balanced drinkbr br traveled india tasted authentic chai tea south india north india subtly different recipes even pleasure taste rare varieties black tea leaves unfortunately never tasted chai tea outside india resembles enjoyed india experiments chai spices created chai tea closer sold america however uniqueness chai tea india difficult replicatebr br find create authentic chai tea using mighty leaf organic breakfast tea combined blend chai spices cardamom cinnamon ginger cloves hurry skip spices use tea bag tulsi red chai masala caffeinefree roiboos tea black tea find unique combination black tea roiboos tasty recipebr hrefhttpwwwamazoncomgpproductbvdpyorganic india tulsi red chai masala ounce boxes pack abr hrefhttpwwwamazoncomgpproductbetymmighty leaf tea organic breakfast tea bags count box biodegradable whole leaf pouches pack abr br praise mighty leaf teas br br mightly leaf tea considered class tea leaves herbs used extremely fresh open plastic paper breathes pouch immediately hit sweet aroma fresh tea never smelled another tea bag even comes close freshness even bulk teas packaged correctly quick enough manufacturer keep much freshness teabr br mighty leaf tea bit expensive organic tea however quality leaves herbs highest might leaf tea uses large pieces leaves herbs flowers unlike teas use shreds leaves shredded tea oxidizes quickly due increased surface area results tea loses flavor smell quicklybr br mighty leaf uses silk bags larger pores paper bags means water penetrates tea bags fully allowing newly teainfused water spread cup quickly brewing tea long create bitter taste problem paper tea bags infused tea water cannot spread quickly enough cup create bold full flavor brewing time passed means either tea full flavored bitter mighty leaf solves problem using silk bagsbr br mighty leaf tea bag sealed plastic pouch since plastic less porous paper pouches keep tea herbs fresher longerbr br nothing like mighty leaf tea wish mighty leaf tea started selling tulsi tea would heavenbr br mighty leaf tea clearly creation tea experts appreciate highest quality organic ingredients created tea bag system far beyond company done every type tea mighty leaf tea offers tastes incredible choose favorite flavor enjoy tea experienced fresh bold delicious
"I think this is one of those types of food products where you will either really like it or not care for it.<br /><br />I am a chocolate fan and I love chocolate and almonds, so I figured this was a natural fit for me.<br /><br />Upon opening the first bar it seems like any other bar of it's type. However, once that first bite was in my mouth it's evident it was not. The chocolate in these bards over powers the taste of anything else. Like I said, I'm a chocolate fan but this was just too potent of chocolate for my tastes.<br /><br />Since there were a dozen in the box I decided to let a few others try them. It was a mixed bag of results there too. One person took one bite and would have no more. One said they were okay with coffee. One person ate an entire bar before deeming it ""not very good"". The last person really liked them and said he would buy them in a store. So, basically 1 out of 5 people in my highly unscientific research liked them.<br /><br />I guess if you are a dark chocolate person these may be something you'll like. But if you're not stay clear of these.",2,1313625600,think one types food products either really like care itbr br chocolate fan love chocolate almonds figured natural fit mebr br upon opening first bar seems like bar type however first bite mouth evident chocolate bards powers taste anything else like said im chocolate fan potent chocolate tastesbr br since dozen box decided let others try mixed bag results one person took one bite would one said okay coffee one person ate entire bar deeming good last person really liked said would buy store basically people highly unscientific research liked thembr br guess dark chocolate person may something youll like youre stay clear
"These little packets are the best way to travel with supplements.  Easy to pack, delicious, and they provide immunity and health support.  Plus, I love the packaging.  Kids think they are fun and easy to drink too.  The Pina Colada flavor is amazing.  If I could just squeeze some rum into the package..... :)",5,1350259200,little packets best way travel supplements easy pack delicious provide immunity health support plus love packaging kids think fun easy drink pina colada flavor amazing could squeeze rum package
"This coffee is VERY smooth and not acidity like some others.<br /><br />I have never liked instant coffee, thanks to a friend I tried Colcafe and loved it, so I decided to give Sello Rojo a try since its from the same family but its NON-Instant.<br /><br />I like my coffee real strong, so this coffee managed to be strong without giving me any heartburn, and that my friend its a HUGE selling point for me since I love coffee but have days when some coffee brands would give me excess amount of heartburn.<br /><br />Overall this bag has 17.6oz of true Colombian coffee for $8.99. I usually pay about $4 and change for 10oz of the local brand *Cough*Bustelo*Cough* and pay around the same $8 for 12oz of ""goumet"" coffee *Cough* Starbucks *Cough* Khalua *Cough* Godiva *Cough*Cough*Cough*.",5,1330560000,coffee smooth acidity like othersbr br never liked instant coffee thanks friend tried colcafe loved decided give sello rojo try since family noninstantbr br like coffee real strong coffee managed strong without giving heartburn friend huge selling point since love coffee days coffee brands would give excess amount heartburnbr br overall bag oz true colombian coffee usually pay change oz local brand coughbustelocough pay around oz goumet coffee cough starbucks cough khalua cough godiva coughcoughcough
"Doesn't look like much but pretty tasty. I'm quite addicted. I love how there is no added sugar, especially since mangoes are naturally very sweet. I got 2 orders in 2 weeks.",5,1232064000,doesnt look like much pretty tasty im quite addicted love added sugar especially since mangoes naturally sweet got orders weeks
"In an attempt to find a better alternative to Quaker Oats, I found Nature's Path. I've loved Nature's Path's products since I started eating their pumpkin flax seed cereal last year and I was pleasantly surprised to find out that they made oatmeal, among other things, as well. I've got a bowl of Multigrain Raisin Spice mixed with Maple Nut in front of me right now. This oatmeal is, hands down, THE BEST oatmeal I've ever eaten in my life and I never thought I'd say that after eating Quaker Oats Strawberry and Cream. What I love the most about NP is that they deliver taste with USDA organic and that is very important to me. Why eat bland food that's good for you when you can eat delicious food that's good for you? And unlike Quaker Oats, there is no trans fat in NP's oatmeal. LOVE THEM!",5,1332892800,attempt find better alternative quaker oats found natures path ive loved natures paths products since started eating pumpkin flax seed cereal last year pleasantly surprised find made oatmeal among things well ive got bowl multigrain raisin spice mixed maple nut front right oatmeal hands best oatmeal ive ever eaten life never thought id say eating quaker oats strawberry cream love np deliver taste usda organic important eat bland food thats good eat delicious food thats good unlike quaker oats trans fat nps oatmeal love
"My dog suffers from an auto immune disorder which causes him to have to take a lot of meds. He also is on a novel protein diet and can't have many ""normal"" dog treats or food. After trying a million ways to get those pills in him I found these in the reduced allergen flavor. Yes, they stink horribly. But suddenly meal time is a treat and I couldn't be happier! Just wish more came in a bag and they were cheaper.",5,1329609600,dog suffers auto immune disorder causes take lot meds also novel protein diet cant many normal dog treats food trying million ways get pills found reduced allergen flavor yes stink horribly suddenly meal time treat couldnt happier wish came bag cheaper
I am a granola connossieur.  I eat granola in vanilla fat free yogurt for my morning meal.  I've tried lots of different granolas.  The Bear Naked Fruit and Nut is the best that I've ever found--not too sweet with just the right amount of nuts and fruit in the granola mix.  I highly recommend this product.,5,1272672000,granola connossieur eat granola vanilla fat free yogurt morning meal ive tried lots different granolas bear naked fruit nut best ive ever foundnot sweet right amount nuts fruit granola mix highly recommend product
"I'm on the go and trying to keep healthy and fit by making sure I eat at regular intervals. I tried the ""energy"" bars and ""nutrition"" bars, but they all have fake sweeteners with that nasty aftertaste. Saw the Larabars in the grocery store and picked up a few different flavours to try. WOW!! All natural ingredients, taste fantastic.<br /><br />And, even though they look small compared to other bars on the shelf, they REALLY fill me up -- all the protein in the nuts and the raw ingredients I think. I even got my picky boyfriend to eat one when we were hiking, and now he steals mine!<br /><br />If you are a big chocolate lover, I would just warn you that these don't taste like a chocolate bar - the combination of cocoa and chili powder is really more like a Mole sauce you get in Mexican cooking - rich, but not at all sweet. And the chili powder is not enough to be hot or spicy.<br /><br />I would heartily recommend these to anyone looking at any kind of snack or nutrition bar.",5,1154044800,im go trying keep healthy fit making sure eat regular intervals tried energy bars nutrition bars fake sweeteners nasty aftertaste saw larabars grocery store picked different flavours try wow natural ingredients taste fantasticbr br even though look small compared bars shelf really fill protein nuts raw ingredients think even got picky boyfriend eat one hiking steals minebr br big chocolate lover would warn dont taste like chocolate bar combination cocoa chili powder really like mole sauce get mexican cooking rich sweet chili powder enough hot spicybr br would heartily recommend anyone looking kind snack nutrition bar
The Almonds are very very fresh tasting.  The cinnamon adds an extra bonus of goodness to the almonds with a great flavor.  We keep them in the fridge.  We also mix them with all the other nuts we have making our own nut mixture.  Excellent snack with protein.<br /><br />Just ordered some more of them.,5,1340582400,almonds fresh tasting cinnamon adds extra bonus goodness almonds great flavor keep fridge also mix nuts making nut mixture excellent snack proteinbr br ordered
"This product is wonderful.  My older Westie has always had some trouble with plaque build-up and this product really took care of it.  On top of that, both of the dogs love the flavor, its like a treat to them.  And since I don't have to clean their teeth as often, it is a treat for me as well.",5,1334361600,product wonderful older westie always trouble plaque buildup product really took care top dogs love flavor like treat since dont clean teeth often treat well
"First off, I have to say that the salt& pepper and barbeque flavors are the way to go. SO GOOD. Really, I just like that these are crunchy, salty and yummy. They're an easy addition to my lunch when I need some extra snack items and want something to look forward to during the work day. I wouldn't call them filling but they're good to tide me over for an hour until lunch or I get home to start dinner - I do run a lot though so maybe that's why.",5,1319155200,first say salt pepper barbeque flavors way go good really like crunchy salty yummy theyre easy addition lunch need extra snack items want something look forward work day wouldnt call filling theyre good tide hour lunch get home start dinner run lot though maybe thats
this is the only dog food my highly allergic golden retriever can eat without getting hotspots!!!,5,1241740800,dog food highly allergic golden retriever eat without getting hotspots
"This is THE mmmost delicious Kind bar there is! Its like eating a candy bar, except its good for you.",5,1347148800,mmmost delicious kind bar like eating candy bar except good
"This is a great tasting snack that's good for you!<br /><br />Crunchy N Yummy mango has the crispy consistency of a chip.  This snack is wholesome and all natural - just 100% sun ripened and freeze dried mangoes.  The mangoes are certified USDA organic - even the water that is removed from the fruit is returned to the farms!<br /><br />These snacks contain no sulfur dioxide (E220), a food preservative commonly used in dried fruit.  Some individuals may be sensitive to sulfur dioxide especially in large amounts, so it's great that Crunchy N Yummy products contain no preservatives and no artificial whatchamacallits! :))<br /><br />The freeze dried mangoes are great in salads, cereal or as a topping in yogurts or ice cream.  I don't worry about re-sealing the pack to keep the mangoes crunchy - at only 100 calories per 1 ounce serving, I can eat the entire pack!  :))<br /><br />SEE MY PHOTOS IN CUSTOMER IMAGES<br /><br />The only negative comment I can make is the high price for these single serving snack packs.  I do hope Amazon would offer these Crunchy N Yummy snacks at cheaper prices soon!<br /><br />4 STARS for the high price - 5 STARS for a great tasting crunchy dried fruit snack!<br /><br />RECOMMENDED: <a href=""http://www.amazon.com/gp/product/B004B3K8ZY"">Crunchy N Yummy Organic Freeze Dried Fruit Papaya</a> is great for snacking on the go.  At only  55 calories per pack - you can even start another pack without guilt tripping! :))",5,1293321600,great tasting snack thats good youbr br crunchy n yummy mango crispy consistency chip snack wholesome natural sun ripened freeze dried mangoes mangoes certified usda organic even water removed fruit returned farmsbr br snacks contain sulfur dioxide e food preservative commonly used dried fruit individuals may sensitive sulfur dioxide especially large amounts great crunchy n yummy products contain preservatives artificial whatchamacallits br br freeze dried mangoes great salads cereal topping yogurts ice cream dont worry resealing pack keep mangoes crunchy calories per ounce serving eat entire pack br br see photos customer imagesbr br negative comment make high price single serving snack packs hope amazon would offer crunchy n yummy snacks cheaper prices soonbr br stars high price stars great tasting crunchy dried fruit snackbr br recommended hrefhttpwwwamazoncomgpproductbbkzycrunchy n yummy organic freeze dried fruit papayaa great snacking go calories per pack even start another pack without guilt tripping
Do not be mislead in thinking these are just tiny bits and pieces! There were nice large pieces as well in the can. Opened a can and made omlets for breakfast. They have good flavor and with the current special going on I feel I got a bargain at under a dollar a can!,5,1224201600,mislead thinking tiny bits pieces nice large pieces well opened made omlets breakfast good flavor current special going feel got bargain dollar
This Spice Lab Himalayan Salt tastes good. It is easy to open and close bag over and over.<br />It has the red-pinkish color like in the picture for it. I have not had a problem with the salt clumping together.,5,1346976000,spice lab himalayan salt tastes good easy open close bag overbr redpinkish color like picture problem salt clumping together
"This tea is delicious either hot or cold. Its aroma is so rich and soothing that it would be worth brewing even if you didn't drink it.<br /><br />So many of us want this year-round that I wish Amazon would make it available through Subscribe & Save.<br /><br />If only Celestial Seasonings would ALSO make a decaff version of this tea, I could enjoy it in the evening as well. (I'm super-sensitive to caffeine). But at least this ""regular"" version is a great start to my day.<br /><br />Since I sometimes have trouble finding Nutcracker Sweet at a reasonable price, I occasionally ""stretch"" it by brewing it thus: 1 bag of Nutcracker Sweet + 1 bag of PG Tips + 3 cups of boiling water. The two teas complement each other very nicely.<br /><br />When it's iced, sweetened with Xylitol (which dissolves best while the tea is still warm), and laced with a bit of milk or Half & Half, it satisfies me more than most desserts. I even know some people who add a drop of Irish Cream....",5,1325808000,tea delicious either hot cold aroma rich soothing would worth brewing even didnt drink itbr br many us want yearround wish amazon would make available subscribe savebr br celestial seasonings would also make decaff version tea could enjoy evening well im supersensitive caffeine least regular version great start daybr br since sometimes trouble finding nutcracker sweet reasonable price occasionally stretch brewing thus bag nutcracker sweet bag pg tips cups boiling water two teas complement nicelybr br iced sweetened xylitol dissolves best tea still warm laced bit milk half half satisfies desserts even know people add drop irish cream
"My 21-lb mixed breed does best on grain free food. The transition to Hi-Tek was uneventful and he gobbles it up. After one bag, I'll be back for more.",5,1338508800,lb mixed breed best grain free food transition hitek uneventful gobbles one bag ill back
"Oh my gosh!  Who knew a ""chocolate"" chip would taste so good.  The only bad part is I ate much more ice cream so I could dip them then before.",5,1277510400,oh gosh knew chocolate chip would taste good bad part ate much ice cream could dip
"As the other reviewers have stated, this strawberry flavor is hard to find locally unless you pick them out of the assorted variety box. Amazon's price is very reasonable and w/ the FREE super shipping, it becomes a great deal. I don't know why but Amazon suddenly was out of stock a few months back and my grandparents refused to eat the chocolate one I bought them.<br /><br />Thank goodness it's back and thank goodness it comes in a pack of 6 so they can happily drink this for a few months!",5,1308009600,reviewers stated strawberry flavor hard find locally unless pick assorted variety box amazons price reasonable w free super shipping becomes great deal dont know amazon suddenly stock months back grandparents refused eat chocolate one bought thembr br thank goodness back thank goodness comes pack happily drink months
"I've been purchasing the True Lemon brand since I first discovered it on my supermarket shelf a few years ago. It's such a great way to get natural flavoring in your water.  It doesn't colorize your water, so it won't look like you are drinking fruit juice like most of those beverage powders for water bottles.  Plus, each packet is 25% of your daily vitamin-c intake, which is pretty cool!<br /><br />My favorite flavor of all three currently on the market is the True Orange.  But of course, it also seems to be the most difficult to find.  I found it once in a supermarket near me.  I tried it, I loved it, and I never found it there again.  Luckily, amazon.com sells it, so I can buy this for myself, and not have to worry about rationing my one box, which is very close to empty.<br /><br />Overall, I highly recommend this!",5,1229299200,ive purchasing true lemon brand since first discovered supermarket shelf years ago great way get natural flavoring water doesnt colorize water wont look like drinking fruit juice like beverage powders water bottles plus packet daily vitaminc intake pretty coolbr br favorite flavor three currently market true orange course also seems difficult find found supermarket near tried loved never found luckily amazoncom sells buy worry rationing one box close emptybr br overall highly recommend
We found Zuke's products and have purchased most of them for our little Australian Terrier. She loves the small bite size and she loves these chicken treats so we put them on recurring delivery. Would recommend.,5,1350777600,found zukes products purchased little australian terrier loves small bite size loves chicken treats put recurring delivery would recommend
On The Cat Wok is one of my two cats ultimate favorite flavor and brand of cat food.  Unfortunately my third cat will not eat any canned food no matter what I try to give her!,5,1348790400,cat wok one two cats ultimate favorite flavor brand cat food unfortunately third cat eat canned food matter try give
I only feed my dog organic products and treats and I love the ingredients in these treats.  They are perfect for training and she loves them!,5,1217203200,feed dog organic products treats love ingredients treats perfect training loves
I fed my champion Shetland Sheepdogs this food for over six months.  A few of my dogs did alright on it but others had loose stools and lost on average 2 pounds from the previous year. Upon giving more food to gain weight the dog's got even looser stools.  I e-mailed the company about it and never got a reply. Coats were shiny but not good enough for show competition.  Since taking my dogs off this food they have gained weight and coats are coming in to the point I can show them again soon.  I do like the philosphies of this company with regards to ingredients but makes me wonder if no grain at all is such a great thing.,2,1241049600,fed champion shetland sheepdogs food six months dogs alright others loose stools lost average pounds previous year upon giving food gain weight dogs got even looser stools emailed company never got reply coats shiny good enough show competition since taking dogs food gained weight coats coming point show soon like philosphies company regards ingredients makes wonder grain great thing
"Rating 1 star due to price. Too pricey. Loved the coffee, but average price on k-cups is typically 50 to 60 cents per k-cup. Paying $1.18 per k-cup is outrageous (I thought I was getting a 2 pack for the price, my bad). Amazon has many 2 packs of k-cups for this price. Will pay closer attention on future k-cup purchases. Will not purchase this product at this price again.",1,1296345600,rating star due price pricey loved coffee average price kcups typically cents per kcup paying per kcup outrageous thought getting pack price bad amazon many packs kcups price pay closer attention future kcup purchases purchase product price
"Starbucks blonde coffees are comparable to dunkin donuts coffee, no bitterness at all.  The decaf whole beans are better than dunkin donuts decaf coffee beans which tend to be a little more bitter than the caffinated version.  So if you're looking for a good tasting light roast decaf, this is it.  I still love dunkin donuts regular coffee too, so now I go back and forth between starbucks and dunkin.<br />This product was priced well through amazon, and received quickly too.  Thanks.",5,1337817600,starbucks blonde coffees comparable dunkin donuts coffee bitterness decaf whole beans better dunkin donuts decaf coffee beans tend little bitter caffinated version youre looking good tasting light roast decaf still love dunkin donuts regular coffee go back forth starbucks dunkinbr product priced well amazon received quickly thanks
I love Oreos but hate the filling.  These prevent me from having to scape the filling out and they're good for you - calorie wise.,5,1204761600,love oreos hate filling prevent scape filling theyre good calorie wise
"I also want to confirm I received a fresh box of 50 Instant Coffee packs.  I had no problem with expiration dates, and have found a low cost alternative to waiting in line at StarBucks or Port City Java.  I don't feel guilty when I don't give myself a tip.",5,1312156800,also want confirm received fresh box instant coffee packs problem expiration dates found low cost alternative waiting line starbucks port city java dont feel guilty dont give tip
Senseo coffee pods are almost extinct in our area.  Glad to be able to find them at Amazon.  Coffee was fresh and tasted great!,5,1302134400,senseo coffee pods almost extinct area glad able find amazon coffee fresh tasted great
"My cat is an old fart at 16 years old so she doesn't get excited quite as often over things as she used to.  She always enjoys regular treats but for Christmas I wanted to get her a variety of different more natural treats and these were one of them.  She went off her rocker before I even had a chance to open them; she was licking around the seal of the closed plastic container!  Watching her eat them is half the fun - I'll put some flakes on the floor and she acts like a vacuum cleaner, frantically pushing them around to try to inhale them but sometimes they get stuck to her chin or whiskers and she can't figure out what's going on.  It's been a long time since I've seen her this animated over treats, and I never would have guessed it would have happened over fish flakes [they remind me of pieces of onion skin], so I'd say these are a winner in our house now!",5,1261872000,cat old fart years old doesnt get excited quite often things used always enjoys regular treats christmas wanted get variety different natural treats one went rocker even chance open licking around seal closed plastic container watching eat half fun ill put flakes floor acts like vacuum cleaner frantically pushing around try inhale sometimes get stuck chin whiskers cant figure whats going long time since ive seen animated treats never would guessed would happened fish flakes remind pieces onion skin id say winner house
"Of all the Fancy Feast flavors this is my cats favorite.  They get all the ""classic"" flavors but like this one best.  I only feed my cats the classic because the ""grilled"" is not as healthy for them.  This one has chunks of chicken in it.  I cut them up so they're not so big.",5,1335830400,fancy feast flavors cats favorite get classic flavors like one best feed cats classic grilled healthy one chunks chicken cut theyre big
"Good enough SW taste, but a slight off or bitter taste.  Prefer Paul Prudhome's version.",3,1194048000,good enough sw taste slight bitter taste prefer paul prudhomes version
